PhraseId,Sentiment
156061,2
156062,2
156063,0
156064,2
156065,2
156066,3
156067,3
156068,0
156069,0
156070,0
156071,2
156072,0
156073,0
156074,0
156075,0
156076,2
156077,0
156078,2
156079,2
156080,2
156081,0
156082,0
156083,2
156084,2
156085,0
156086,2
156087,0
156088,0
156089,2
156090,0
156091,2
156092,2
156093,2
156094,2
156095,0
156096,0
156097,2
156098,2
156099,0
156100,2
156101,0
156102,2
156103,2
156104,2
156105,0
156106,0
156107,0
156108,2
156109,0
156110,0
156111,2
156112,0
156113,2
156114,2
156115,2
156116,2
156117,0
156118,2
156119,0
156120,0
156121,2
156122,0
156123,1
156124,0
156125,0
156126,2
156127,0
156128,2
156129,0
156130,2
156131,0
156132,2
156133,2
156134,0
156135,0
156136,2
156137,0
156138,2
156139,2
156140,2
156141,0
156142,0
156143,2
156144,2
156145,0
156146,0
156147,2
156148,2
156149,2
156150,0
156151,2
156152,0
156153,0
156154,2
156155,2
156156,0
156157,2
156158,0
156159,2
156160,0
156161,2
156162,0
156163,2
156164,0
156165,0
156166,2
156167,0
156168,2
156169,2
156170,0
156171,2
156172,2
156173,0
156174,2
156175,2
156176,0
156177,0
156178,2
156179,0
156180,2
156181,2
156182,0
156183,2
156184,0
156185,2
156186,2
156187,2
156188,2
156189,0
156190,2
156191,2
156192,2
156193,0
156194,2
156195,0
156196,2
156197,2
156198,0
156199,0
156200,0
156201,2
156202,0
156203,2
156204,0
156205,2
156206,0
156207,2
156208,0
156209,2
156210,2
156211,2
156212,0
156213,2
156214,0
156215,0
156216,2
156217,0
156218,0
156219,2
156220,0
156221,2
156222,2
156223,2
156224,2
156225,2
156226,2
156227,0
156228,0
156229,2
156230,0
156231,2
156232,0
156233,2
156234,0
156235,0
156236,2
156237,0
156238,2
156239,0
156240,2
156241,2
156242,0
156243,2
156244,3
156245,0
156246,2
156247,3
156248,0
156249,0
156250,2
156251,2
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,0
156259,0
156260,2
156261,0
156262,2
156263,2
156264,2
156265,0
156266,2
156267,0
156268,0
156269,2
156270,0
156271,0
156272,2
156273,0
156274,2
156275,2
156276,2
156277,2
156278,2
156279,2
156280,2
156281,2
156282,2
156283,0
156284,2
156285,0
156286,2
156287,2
156288,3
156289,0
156290,0
156291,2
156292,2
156293,2
156294,0
156295,0
156296,2
156297,0
156298,2
156299,0
156300,2
156301,2
156302,2
156303,0
156304,2
156305,2
156306,0
156307,2
156308,0
156309,2
156310,0
156311,2
156312,2
156313,0
156314,2
156315,0
156316,2
156317,2
156318,0
156319,2
156320,0
156321,2
156322,0
156323,0
156324,2
156325,2
156326,2
156327,0
156328,2
156329,2
156330,2
156331,2
156332,0
156333,2
156334,2
156335,2
156336,2
156337,2
156338,3
156339,0
156340,0
156341,2
156342,2
156343,2
156344,0
156345,0
156346,2
156347,2
156348,0
156349,2
156350,0
156351,2
156352,2
156353,2
156354,0
156355,0
156356,2
156357,2
156358,2
156359,0
156360,0
156361,0
